Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC
Logistic_Regression,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.5833333333333333,0.8773809523809524
Logistic_Regression,2,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.75,0.915079365079365
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.75,0.9305555555555556
Logistic_Regression,4,0.5,0.5333333333333333,0.6666666666666666,0.4,0.6666666666666666,0.5,0.6666666666666667,0.8350000000000001
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6,0.8083333333333333
Random_Forest,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7539682539682541
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.915079365079365
Random_Forest,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8583333333333333
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.5333333333333333,0.6595238095238095
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095
XGBoost,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.9166666666666667,0.9761904761904762
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6000000000000001,0.7683333333333333
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.4,0.6783333333333333
