Ablation_Group,Model,Balanced Accuracy,Balanced Accuracy SD,F1,F1 SD,ROC-AUC,ROC-AUC SD,PR-AUC,PR-AUC SD
A_Behavioral_only,Logistic_Regression,0.6933333333333334,0.053489355119604044,0.8358974358974359,0.10470521532869448,0.77,0.15563490039904998,0.8861825396825396,0.10761690910105443
A_Behavioral_only,Random_Forest,0.7433333333333333,0.1831817555204545,0.8727106227106226,0.09432678961038894,0.7766666666666667,0.16055459438389724,0.8942301587301588,0.08244991684718572
A_Behavioral_only,XGBoost,0.7266666666666667,0.18431555067932337,0.8564102564102564,0.13519411616886226,0.7433333333333334,0.17143187827498385,0.8572380952380951,0.10964888404119288
B_Reaction_Time_only,Logistic_Regression,0.45999999999999996,0.08045012257431443,0.7373959373959373,0.07978176509362096,0.6600000000000001,0.10645812948447543,0.8749365079365079,0.042080761654059246
B_Reaction_Time_only,Random_Forest,0.67,0.1376388188137505,0.7646153846153847,0.13016956523452974,0.6966666666666667,0.1249444320932754,0.8368174603174603,0.10966341602747388
B_Reaction_Time_only,XGBoost,0.6599999999999999,0.13260216187277388,0.7772494172494173,0.09562134104749101,0.655,0.09121098861674753,0.8345952380952382,0.06929183003609135
C_Gaze_only,Logistic_Regression,0.4833333333333334,0.03726779962499649,0.8043956043956044,0.04815143362682774,0.3516666666666667,0.1568350159314629,0.6973492063492064,0.14573515321583197
C_Gaze_only,Random_Forest,0.4833333333333334,0.03726779962499649,0.8043956043956044,0.04815143362682774,0.655,0.21242645786248004,0.8798809523809524,0.09305477290089519
C_Gaze_only,XGBoost,0.5,0.0,0.8219780219780219,0.04815143362682774,0.53,0.18944362984510427,0.8136904761904763,0.13667099607378463
D_Pupil_only,Logistic_Regression,0.47666666666666674,0.0683130051063973,0.7754911754911754,0.08297737551455099,0.6466666666666667,0.24983327774070985,0.8526587301587302,0.10782845387981953
D_Pupil_only,Random_Forest,0.4966666666666667,0.12931443160847214,0.7193006993006993,0.09022611177284742,0.5016666666666667,0.14147045235274008,0.7641904761904762,0.07200843007778725
D_Pupil_only,XGBoost,0.58,0.1266008600988863,0.7459673659673661,0.09048409413961331,0.6166666666666667,0.16551686721701006,0.8177619047619048,0.06754897652092852
E_Gaze_and_Pupil,Logistic_Regression,0.45666666666666667,0.10246950765959599,0.7512487512487512,0.12813721274584586,0.55,0.1728036779443977,0.8092460317460317,0.10624305810766907
E_Gaze_and_Pupil,Random_Forest,0.55,0.11180339887498951,0.7474969474969475,0.1725334564530382,0.6233333333333334,0.1461781637439586,0.8281984126984125,0.06422761312300153
E_Gaze_and_Pupil,XGBoost,0.58,0.1266008600988863,0.7459673659673661,0.09048409413961331,0.5833333333333333,0.21481581257750404,0.7885952380952382,0.11511274009738738
F_Behavioral_and_RT,Logistic_Regression,0.6933333333333334,0.1182041548433143,0.8397435897435898,0.08209133637734423,0.74,0.17384539747207062,0.8725555555555555,0.10926679571929626
F_Behavioral_and_RT,Random_Forest,0.7566666666666666,0.12616127245183711,0.8465034965034965,0.09896093256626605,0.7,0.2094967514996089,0.8233015873015873,0.15089374654048435
F_Behavioral_and_RT,XGBoost,0.6733333333333332,0.16857243744653708,0.7958974358974359,0.12822563938487794,0.7100000000000002,0.23142073276946376,0.8363174603174602,0.1453869027987631
G_Behavioral_RT_and_Gaze,Logistic_Regression,0.6866666666666668,0.19557607215607947,0.7564335664335664,0.15816019155580166,0.6599999999999999,0.12616127245183711,0.8646031746031746,0.07183383709068858
G_Behavioral_RT_and_Gaze,Random_Forest,0.7766666666666666,0.09174239296348594,0.8677156177156176,0.07563195609747145,0.7500000000000001,0.2094967514996089,0.8226746031746032,0.1813299797039381
G_Behavioral_RT_and_Gaze,XGBoost,0.6733333333333332,0.16857243744653708,0.7958974358974359,0.12822563938487794,0.7100000000000002,0.23142073276946376,0.8363174603174602,0.1453869027987631
H_Behavioral_RT_and_Pupil,Logistic_Regression,0.6533333333333333,0.10096754153907307,0.7813519813519815,0.17674662818575895,0.7500000000000002,0.14433756729740643,0.8832380952380952,0.07834855254126373
H_Behavioral_RT_and_Pupil,Random_Forest,0.7233333333333334,0.1336454679781964,0.8298368298368297,0.12330098979429553,0.7466666666666666,0.19804601036683928,0.8445873015873016,0.14493049437071095
H_Behavioral_RT_and_Pupil,XGBoost,0.6233333333333333,0.17701224063135668,0.7827106227106226,0.11453621461879997,0.675,0.2396467307424734,0.8125396825396825,0.15241869520591667
I_Behavioral_RT_and_GazePupil,Logistic_Regression,0.6133333333333333,0.2039199189224371,0.6658275058275059,0.23075802284948835,0.7666666666666666,0.1438556375136006,0.9024206349206348,0.0792324536698042
I_Behavioral_RT_and_GazePupil,Random_Forest,0.7733333333333332,0.15482965549991456,0.8646853146853146,0.1195451426311645,0.74,0.1831817555204545,0.8556984126984126,0.1218636437557902
I_Behavioral_RT_and_GazePupil,XGBoost,0.7266666666666666,0.1781852968120546,0.8601398601398602,0.1252900200501323,0.7333333333333334,0.16029486718059452,0.8504206349206349,0.10136446914943165
