Feature,Test,Statistic,Raw p-value,Effect size,Effect-size interpretation,FDR-adjusted p-value
accuracy_by_distractor_diff,Mann-Whitney U,136.5,0.3570483764588198,-0.3467753805519677,Small,0.625500071045382
accuracy_by_load_diff,Mann-Whitney U,156.0,0.7340233258599719,-0.23349952998942014,Small,0.8875739644970413
accuracy_overall,Mann-Whitney U,61.5,0.0017456815875479103,-1.0535623984318148,Large,0.026185223813218653
false_alarm_rate,Mann-Whitney U,168.0,1.0,0.0,Negligible,1.0
hit_rate,Mann-Whitney U,70.0,0.0040034281044511785,-1.0019475318038775,Large,0.030025710783383838
mean_fixation_stability,Mann-Whitney U,192.5,0.4056625911848952,0.29064015239590013,Small,0.625500071045382
mean_pupil_proxy,Mann-Whitney U,103.0,0.056954829805611805,-0.745637686060503,Medium,0.17376555457833284
mean_reaction_time_ms,Mann-Whitney U,140.0,0.417000047363588,-0.33386174875091945,Small,0.625500071045382
median_reaction_time_ms,Mann-Whitney U,144.0,0.48794528230041667,-0.27139439955597927,Small,0.6653799304096591
normalized_fixation_instability,Mann-Whitney U,18.0,0.8846153846153846,0.05360302485051601,Negligible,0.9478021978021978
normalized_gaze_dispersion,Mann-Whitney U,14.0,0.7692307692307692,0.022939510281029432,Negligible,0.8875739644970413
omission_rate,Mann-Whitney U,221.5,0.11653591064433005,0.6108408442075752,Medium,0.2497198085235644
pupil_variability,Mann-Whitney U,231.0,0.06509149993946385,0.6670482724188372,Medium,0.17376555457833284
rt_coefficient_of_variation,Mann-Whitney U,232.0,0.06091068460593306,0.7522292540825123,Medium,0.17376555457833284
rt_variability,Mann-Whitney U,230.0,0.06950622183133313,0.685229232487271,Medium,0.17376555457833284
