Column Name,Data Type,Unique Values,Null Count,Duplicate Count,Constant Feature?,Min Value,Max Value
subject_id,str,40,0,0,No,N/A,N/A
group,str,2,0,38,No,N/A,N/A
mean_reaction_time_ms,float64,40,0,0,No,488.1602564102564,1153.9862068965515
median_reaction_time_ms,float64,40,0,0,No,444.5,1168.0
rt_variability,float64,40,0,0,No,135.10986423127713,366.37867449766543
rt_coefficient_of_variation,float64,40,0,0,No,0.1648002947880076,0.5819607732096395
accuracy_overall,float64,31,0,9,No,0.25,0.90625
accuracy_by_load_diff,float64,25,0,15,No,-0.1124999999999999,0.3125
accuracy_by_distractor_diff,float64,20,0,20,No,-0.3,0.35
mean_fixation_stability,float64,15,0,25,No,0.0,106.79744021288428
mean_pupil_proxy,float64,40,0,0,No,-0.1348826840603667,0.0208567994222334
normalized_fixation_instability,float64,14,26,25,No,0.0207231971402383,0.0817938654325275
normalized_gaze_dispersion,float64,14,26,25,No,0.0209777519585401,0.1154976636860362
pupil_variability,float64,40,0,0,No,0.0078987690842674,0.1758459701408929
omission_rate,float64,24,0,16,No,0.0,0.38125
false_alarm_rate,float64,1,0,39,Yes,0.0,0.0
hit_rate,float64,38,0,2,No,0.2833333333333333,0.9333333333333332
