Feature,Group,N,Mean,SD,Median,IQR,Min,Max
mean_reaction_time_ms,ADHD,28,801.9393989533672,150.39733888758064,807.987273511648,188.9329283970435,488.1602564102564,1153.9862068965515
mean_reaction_time_ms,Control,12,847.2150614566214,89.50405707417313,825.6551245406288,93.96459627428271,709.16,1026.158940397351
median_reaction_time_ms,ADHD,28,778.0,165.67857100086567,781.0,200.375,444.5,1168.0
median_reaction_time_ms,Control,12,818.3333333333334,94.46147202415224,791.25,80.25,666.5,1014.0
rt_variability,ADHD,28,231.92721312812384,63.1213211881619,219.83741708379637,85.4741402108748,135.10986423127713,366.37867449766543
rt_variability,Control,12,194.74425812689273,19.808221301176832,190.55507394026176,18.17357365342201,172.16928523816736,243.57230493907417
rt_coefficient_of_variation,ADHD,28,0.29993036080666485,0.10358591511957978,0.27807278657723505,0.15788719014950664,0.1648002947880076,0.5819607732096395
rt_coefficient_of_variation,Control,12,0.23243470668807398,0.03840907395857819,0.2280692745726088,0.020977705859448387,0.1932147708308463,0.343465938489303
accuracy_overall,ADHD,28,0.6113839285714285,0.1797556015989959,0.646875,0.2765625,0.25,0.90625
accuracy_overall,Control,12,0.78125,0.10242097840863373,0.825,0.07812499999999989,0.56875,0.88125
accuracy_by_load_diff,ADHD,28,0.10848214285714286,0.11102706394646047,0.0999999999999999,0.14687500000000006,-0.1124999999999999,0.3
accuracy_by_load_diff,Control,12,0.13333333333333328,0.09419716588414993,0.11875,0.1312499999999999,0.025,0.3125
accuracy_by_distractor_diff,ADHD,28,8.921435019309294e-18,0.16087146928411394,0.03749999999999995,0.19999999999999993,-0.3,0.35
accuracy_by_distractor_diff,Control,12,0.049999999999999996,0.0910793859523358,0.075,0.15,-0.075,0.15
mean_fixation_stability,ADHD,28,25.02573395842746,35.51261710220702,0.0,47.48161775394375,0.0,106.79744021288428
mean_fixation_stability,Control,12,15.215821060920907,28.983636010831823,0.0,9.125463340574422,0.0,75.83507192660984
mean_pupil_proxy,ADHD,28,-0.03300452840778837,0.04020226478616619,-0.0331215995811716,0.04948195182816945,-0.1348826840603667,0.0208567994222334
mean_pupil_proxy,Control,12,-0.006926514552024484,0.016076972260841434,-0.0046377563176167496,0.020633499259177027,-0.0443069401223643,0.0100634243977015
normalized_fixation_instability,ADHD,11,0.048573612637525444,0.021225389577972115,0.0407530537559813,0.031133184113135898,0.0207231971402383,0.0817938654325275
normalized_fixation_instability,Control,3,0.047477736027830474,0.015975979556357833,0.0551231081045915,0.014539365087275151,0.0291156849021748,0.0581944150767251
normalized_gaze_dispersion,ADHD,11,0.051941985749711386,0.027094653112549712,0.044843363091699,0.022494216825102248,0.0209777519585401,0.1154976636860362
normalized_gaze_dispersion,Control,3,0.051371738986853065,0.006093711625302162,0.0531140114388556,0.005903955148846195,0.0445966476120056,0.056404557909698
pupil_variability,ADHD,28,0.09114961996162847,0.0412993714165408,0.09416458231678321,0.049775072726771875,0.0078987690842674,0.1758459701408929
pupil_variability,Control,12,0.06621461075601999,0.025310779314975097,0.06780899010620345,0.026700125593431975,0.0216137294229449,0.1017853574429682
omission_rate,ADHD,28,0.09084821428571428,0.10029588954516573,0.04375,0.08906249999999999,0.0,0.38125
omission_rate,Control,12,0.03802083333333333,0.03386327092033849,0.028125,0.0296875,0.0125,0.13125
false_alarm_rate,ADHD,28,0.0,0.0,0.0,0.0,0.0,0.0
false_alarm_rate,Control,12,0.0,0.0,0.0,0.0,0.0,0.0
hit_rate,ADHD,28,0.6375151172546026,0.1656180357079171,0.6907494348808902,0.2533517956215324,0.2833333333333333,0.9125
hit_rate,Control,12,0.7892387203095882,0.10903403494278875,0.8333333333333333,0.10363233373518188,0.5897435897435898,0.9333333333333332
