Seed,Model,Accuracy,F1,ROC-AUC
10,logistic_regression,0.54,0.5658119658119658,0.5566666666666666
10,random_forest,0.4600000000000001,0.5233766233766234,0.4576666666666667
10,xgboost,0.48,0.5489177489177489,0.4996666666666667
42,logistic_regression,0.45999999999999996,0.5215584415584416,0.4176666666666667
42,random_forest,0.4800000000000001,0.5698412698412698,0.5726666666666668
42,xgboost,0.4800000000000001,0.5752380952380952,0.5553333333333332
99,logistic_regression,0.5399999999999999,0.5705128205128205,0.5836666666666666
99,random_forest,0.5,0.5232323232323232,0.5321666666666667
99,xgboost,0.6199999999999999,0.6572804972804974,0.6746666666666667
123,logistic_regression,0.52,0.5726340326340326,0.542
123,random_forest,0.58,0.6532400932400931,0.6253333333333333
123,xgboost,0.48,0.5160062160062161,0.49733333333333335
888,logistic_regression,0.6599999999999999,0.7125541125541124,0.6466666666666667
888,random_forest,0.48,0.555024975024975,0.43149999999999994
888,xgboost,0.5599999999999999,0.5935897435897436,0.5583333333333333
